"","BH_ERR1797972","BH_ERR1797973","BH_ERR1797974","Serum_ERR1797969","Serum_ERR1797970","Serum_ERR1797971"
"LPCHMCBP_00221",4677.58399589062,4974.84758681042,4831.23054602675,2955.91062633935,2901.26609910117,2909.72164774597
"LPCHMCBP_00222",5207.53413908867,5027.26196647163,4934.12794041274,3942.75671802917,3845.63463527437,3603.52908392898
"LPCHMCBP_00223",3220.67638572418,3502.72647529104,3565.79047468368,3141.0165755426,3160.07839667165,3025.00042175792
"LPCHMCBP_00224",11753.6021450177,9905.41405976911,9570.44707591988,3034.58065475073,2799.51927982727,2806.18423034636
"LPCHMCBP_00225",4027.43897485385,3704.25072812641,3674.62425720732,607.378895823155,582.821586132001,623.359296509042
"LPCHMCBP_00227",164.812673400078,153.628354179432,124.664150890717,136.515637537395,116.5643172264,124.885338512942
"LPCHMCBP_00228",0,0,0,0,0,0
"LPCHMCBP_00229",26.4064504342667,26.2071898306089,24.734950573555,27.7658923804871,30.6228291018509,36.2914658926497
"LPCHMCBP_00230",25.4958831779127,36.1478480422192,26.7137466194394,33.5504532930886,45.4403270543594,35.2240698369835
"LPCHMCBP_00231",20.9430468961426,25.3034936295534,29.681940688266,42.8057507532509,49.391659841695,56.5719909503069
"LPCHMCBP_00232",12424.6902129507,11495.9193736268,10982.3180546584,11784.3074911517,11504.3054103276,12049.8340724154
"LPCHMCBP_00233",5248.5096656246,4419.97811936235,4467.13207358403,3600.31071200316,3516.68618072869,3584.31595492699
"LPCHMCBP_00234",485.332347636695,488.899644771014,498.656603562868,318.150850193081,276.593295113492,317.016628532852
"LPCHMCBP_00235",33.6909884850989,31.6293670369418,24.734950573555,31.236628928048,19.756663936678,38.426258003982
"LPCHMCBP_00236",295.023791058704,313.582581766251,289.893620722064,1881.139208778,1850.2115776699,2149.73565611166
"LPCHMCBP_00237",60.0974389193656,65.96982267705,62.3320754453585,468.549433920719,534.41775948714,516.619690942425
"LPCHMCBP_00238",3380.02565558614,3874.14561392484,3844.80071715338,6204.52003485634,6270.7651335016,6415.05029455367
"LPCHMCBP_00239",14546.3119202555,15282.4064560492,15483.0896610225,15499.1525092244,14782.9237906193,14694.8414983561
"LPCHMCBP_00240",8399.07237260952,8226.34651820803,8398.01041873338,8842.27981100261,8810.48428256156,8540.23584138501
"LPCHMCBP_00241",833.169039563932,869.355745415371,891.447618670921,846.859717604856,811.011054600632,762.120783745644
"LPCHMCBP_00242",413.397534384727,390.396758855967,385.865228947457,695.304221694697,736.92356483809,687.403059849012
"LPCHMCBP_00243",774.892735157275,842.244859383707,881.553638441499,537.964164871937,461.318102921431,461.115096047785
"LPCHMCBP_00244",2485.84860984649,2539.3863249659,2410.1735838872,436.155892810151,434.646606606916,451.508531546789
"LPCHMCBP_00245",46.4389300740552,48.7995948569959,54.4168912618209,31.236628928048,21.7323303303458,19.213129001991
"LPCHMCBP_00246",460.747031715136,399.433720866522,421.483557773377,267.246714162188,260.78796396415,260.444637582545
